1457349247,projet_12_10_10.dat,115,2,annealing
1457349250,projet_12_10_4.dat,62,1,annealing
1457349254,projet_12_10_5.dat,107,4,annealing
1457349256,projet_12_10_6.dat,50,2,annealing
1457349256,projet_12_10_7.dat,18,0,annealing
1457349258,projet_12_10_8.dat,73,2,annealing
1457349260,projet_12_10_9.dat,44,2,annealing
1457349268,projet_15_17_10.dat,241,7,annealing
1457349269,projet_15_17_2.dat,8,1,annealing
1457349273,projet_15_17_4.dat,104,2,annealing
1457349279,projet_15_17_5.dat,215,6,annealing
1457349281,projet_15_17_6.dat,91,2,annealing
1457349283,projet_15_17_7.dat,51,2,annealing
1457349288,projet_15_17_8.dat,126,5,annealing
1457349289,projet_15_17_9.dat,11,1,annealing
1457349303,projet_20_25_10.dat,423,12,annealing
1457349308,projet_20_25_4.dat,42,1,annealing
1457349323,projet_20_25_5.dat,389,15,annealing
1457349330,projet_20_25_6.dat,144,7,annealing
1457349334,projet_20_25_7.dat,74,4,annealing
1457349347,projet_20_25_8.dat,230,13,annealing
1457349374,projet_25_30_10.dat,552,20,annealing
1457349385,projet_25_30_4.dat,63,5,annealing
1457349405,projet_25_30_5.dat,513,20,annealing
1457349407,projet_25_30_6.dat,16,2,annealing
1457349412,projet_25_30_7.dat,86,5,annealing
1457349429,projet_25_30_8.dat,282,17,annealing
1457349438,projet_25_30_9.dat,285,9,annealing
1457349438,projet_5_8_1.dat,24,0,annealing
1457349440,projet_5_8_10.dat,40,2,annealing
1457349440,projet_5_8_2.dat,4,0,annealing
1457349441,projet_5_8_4.dat,18,0,annealing
1457349443,projet_5_8_5.dat,40,2,annealing
1457349444,projet_5_8_6.dat,23,1,annealing
1457349444,projet_5_8_7.dat,9,0,annealing
1457349445,projet_5_8_8.dat,28,1,annealing
1457349446,projet_5_8_9.dat,23,1,annealing
1457363180,projet_25_30_3.dat,164,20,annealing
1457363362,projet_25_30_3.dat,162,100,annealing
1457363628,projet_25_30_3.dat,217,10,annealing
1457363658,projet_25_30_3.dat,219,13,annealing
1457468817,projet_12_10_1.dat,41,4,annealing
1457468828,projet_12_10_10.dat,115,11,annealing
1457468829,projet_12_10_2.dat,4,1,annealing
1457468835,projet_12_10_1.dat,41,6,annealing
1457468839,projet_12_10_3.dat,65,10,annealing
1457468847,projet_12_10_4.dat,62,8,annealing
